Nom,Localisation,Type,Etat_poste,Nb_place,Heure_operation,Long,Lat,MTM8_X,MTM8_Y
"38-855","Au coin de l'avenue Laurier O et la rue Jeanne-Mance. Situé au sud-ouest de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.59516763706779,45.520244604217424,297365.3,5042262.9
"38-854","Au coin de la rue Saint-Viateur O et l'avenue Du Parc . Situé au sud-ouest de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.60208129830426,45.52206111556752,296825.4,5042465.4
"38-853","Au coin du boul. Saint-Laurent et la rue Saint-Viateur. Situé au sud-est de l'intersection","Public","Poste public actif",6,"24H / 7J",-73.59888839695486,45.525931482149986,297075.4,5042895.2
"38-852","Au coin de la rue Hutchison et l'avenue Van Horne . Situé au nord-ouest de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.61066865894827,45.524984397686666,296155,5042791.1
"38-848","Au coin du 480 rue Gilford et la rue Berri. Situé au sud-est de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.58616399738821,45.52678083730375,298069.5,5042988.4
"38-845","Au coin de la rue De la Roche et le boul. Saint-Joseph E. Situé au sud-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.58335304266802,45.53086207431055,298289.5,5043441.8
"38-844","Au coin de l'avenue Christophe-Colomb et l'avenue du Mont-Royal. Situé au nord-est de l'intersection.","Public","Poste public actif",4,"24H / 7J",-73.57931900014592,45.528081152993956,298604.3,5043132.4
"38-806","Au coin de la rue Sherbrooke O et la rue Aylmer. Situé au nord-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.57265853901481,45.50629840287917,299122.4,5040711.2
"38-772","Au coin de la rue Rachel E et l'avenue Du Parc-La fontaine. Situé au sud-ouest de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.57431507058209,45.52539856080343,298994.9,5042833.9
"38-763","Au coin de la rue Clark et la rue Sherbrooke O. Situé nord-est de l'intersection","Public","Poste public actif",6,"24H / 7J",-73.56977033457952,45.51202428159057,299348.6,5041347.3
"38-718","Au coin de la rue Saint-Denis et la rue De Malines. Situé au nord-est de l'intersection. ITHQ","Public","Poste public actif",6,"24H / 7J",-73.5693658591299,45.51792342168916,299380.8,5042002.8
"38-715","Au coin de la rue Prince-Arthur O et l'avenue Du Parc . Situé au nord-ouest de l'intersection","Public","Poste public actif",10,"24H / 7J",-73.57580879206546,45.51043555516835,298876.6,5041171.2
"38-272","Au coin de la rue Rachel O et le boul. Saint-Laurent . Situé au sud-ouest de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.58167934457015,45.517918347386676,298418.8,5042003.2
"38-264","Au coin de la rue Cherrier et la rue Saint-André. Situé au sud-ouest de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.56786060372542,45.520534392895286,299498.6,5042292.9
"35-692","Au coin du boul.Saint-Laurent et la rue Saint-Zotique E. Situé au sud-ouest de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.61195182747906,45.531757200708235,296055.9,5043544
"38-270","Au coin de l'avenue Mont-Royal O et l'avenue De L'esplanade . Situé au sud-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.5879948878357,45.51787483817781,297925.4,5041998.9
"38-846","Au coin de la rue Fabre et le boul. Saint-Joseph E. Situé au nord-ouest de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.5810785294234,45.53385329017077,298467.5,5043774
"38-851","Au coin de la rue Messier et l'avenue du Mont-Royal. Situé nord-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.57080030480574,45.53702470737394,299270.6,5044125.7
"38-850","Au coin de la rue Berri et le boul. Saint-Joseph E. Situé au nord-est de l'intersection","Public","Poste public actif",2,"Lun au Ven de 8h00 à 19h00.",-73.5870008472557,45.52750991982854,298004.2,5043069.5
"38-674","Au coin de la rue Rivard et l'avenue Mont-Royal E. Situé au sud-est de l'intersection","Public","Poste public temporaire",4,"24H / 7J",-73.5821479232788,45.52441993327393,298382.9,5042725.7
"15-809","Au coin de la rue Peel et la rue Wellington. Situé au sud-est de l'intersection","Public","Poste public actif",6,"24H / 7J",-73.55726751948242,45.49329036327308,300324,5039264.6
"15-782","Au 225 rue Bridge (Poste Canada). Poste privé Taxi Diamond","Privé","Poste prive actif",3,"24H / 7J",-73.54923937857359,45.486829856569,300951,5038546.2
"15-765","Au coin de la rue Duvernay et l'av. Atwater. Situé au nord-est de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.57711011219482,45.48080519399696,298771.8,5037878.4
"15-598","Au coin de la rue Des Seigneurs et de la rue Saint-Jacques. Situé au nord-ouest de l'intersection","Public","Poste public actif",6,"24H / 7J",-73.57224576668699,45.489144492204034,299152.9,5038804.8
"15-596","Au coin du Ch. De la station et la rue Notre-Dame O. Situé au nord-ouest de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.58386628095093,45.47819221487209,298243.3,5037588.6
"15-595","Au coin de la rue Charon et la rue Wellington. Situé au nord-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.55903290950926,45.479376811145535,300184.9,5037718.5
"15-594","Au coin de la rue Centre et la rue Charlevoix. Situé au sud-est de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.56938047357175,45.47870350010422,299375.9,5037644.3
"15-655","Au 147 Av. Atwater (Stationnement Super C). Poste privé de Taxi Coop Montréal","Privé","Poste prive actif",4,"24H / 7J",-73.57558711957398,45.4805256638776,298890.8,5037847.2
"15-754","Au coin de la rue Notre-Dame O et le Sq.Sir-George-Étienne-Cartier. Situé au sud-ouest de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.5872703016052,45.47419397806124,297976.7,5037144.5
"15-797","Au coin de la rue Notre-Dame O est rue De la Montagne. Situé au sud-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.56431928354493,45.49318780382408,299772.8,5039253.6
"15-744","Au coin de la rue Richardson et la rue Shearer. Situé au sud-est de l'intersection","Public","Poste public actif",3,"LUN au VEN de 8H à 20H",-73.56264749947508,45.483432208729276,299902.6,5038169.4
"48-868","Au coin du boul. Rosemont et le boul. Langelier. Situé au nord-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.55465126194758,45.586716670910995,300535.6,5049647
"48-867","Au 7455 rue Sherbrooke E. Poste privé de Taxi Diamond. Maxi","Privé","Poste prive actif",5,"24H / 7J",-73.54114071772153,45.59340055918141,301590.2,5050389.2
"48-866","Au coin du boul. Langelier et la rue Sherbrooke E. Situé au sud-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.54307913783487,45.58264812461223,301438.3,5049194.3
